# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_region_variant	variants_effect_stop_gained	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
ENSCHAG00000011306	ENSCHAG00000011306	ENSCHAT00000030059	protein_coding	0	1	0	17	0	0	0	1	15	0	0	0	0	1	1
ENSCHAG00000011306	ENSCHAG00000011306	ENSCHAT00000030106	protein_coding	0	1	0	17	0	0	0	1	15	0	0	0	0	1	1
ENSCHAG00000011306	ENSCHAG00000011306	ENSCHAT00000030155	protein_coding	0	0	0	19	0	0	0	6	10	0	0	0	0	0	3
ENSCHAG00000011466	ENSCHAG00000011466	ENSCHAT00000025146	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0
ENSCHAG00000011484	ENSCHAG00000011484	ENSCHAT00000026309	protein_coding	0	1	0	3	0	1	2	0	1	0	0	0	0	0	0
ENSCHAG00000011484	ENSCHAG00000011484	ENSCHAT00000026446	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	2
ENSCHAG00000011484	ENSCHAG00000011484	ENSCHAT00000026510	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	2
ENSCHAG00000011484	ENSCHAG00000011484	ENSCHAT00000026527	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	2
ENSCHAG00000011484	ENSCHAG00000011484	ENSCHAT00000026554	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	2
ENSCHAG00000011640	ENSCHAG00000011640	ENSCHAT00000025659	protein_coding	0	0	0	8	0	0	0	1	5	0	0	0	0	0	2
ENSCHAG00000012105	ENSCHAG00000012105	ENSCHAT00000026845		0	0	0	19	0	0	0	0	5	0	1	0	0	0	13
ENSCHAG00000012105	ENSCHAG00000012105	ENSCHAT00000026846		0	0	0	3	0	0	0	0	0	0	0	0	0	0	3
ENSCHAG00000012105	ENSCHAG00000012105	ENSCHAT00000026847		0	0	0	19	0	0	0	3	2	0	1	0	0	0	13
ENSCHAG00000012109	ENSCHAG00000012109	ENSCHAT00000026850		0	0	0	21	0	0	0	1	14	0	1	0	0	0	5
ENSCHAG00000012109	ENSCHAG00000012109	ENSCHAT00000026853		0	0	0	18	0	0	0	4	5	0	4	0	0	0	5
ENSCHAG00000012111	ENSCHAG00000012111	ENSCHAT00000026859	protein_coding	0	0	0	19	0	0	0	12	0	0	0	0	0	0	7
ENSCHAG00000012150	ENSCHAG00000012150	ENSCHAT00000026959	protein_coding	0	0	0	12	1	0	2	2	0	0	0	0	0	0	7
ENSCHAG00000012157	ENSCHAG00000012157	ENSCHAT00000026973		0	0	0	10	0	0	0	7	0	0	0	0	0	0	3
ENSCHAG00000012158	ENSCHAG00000012158	ENSCHAT00000026974		0	0	0	9	0	0	0	1	1	0	0	0	0	0	7
ENSCHAG00000012162	ENSCHAG00000012162	ENSCHAT00000027051	protein_coding	0	0	1	7	0	0	0	4	0	1	0	0	0	0	3
ENSCHAG00000012211	ENSCHAG00000012211	ENSCHAT00000027107		0	0	0	4	0	0	0	0	2	0	0	0	0	0	2
ENSCHAG00000012211	ENSCHAG00000012211	ENSCHAT00000027113		0	0	0	4	0	0	0	0	2	0	0	0	0	0	2
ENSCHAG00000012211	ENSCHAG00000012211	ENSCHAT00000027114		0	0	0	4	0	0	0	0	2	0	0	0	0	0	2
ENSCHAG00000012211	ENSCHAG00000012211	ENSCHAT00000027117		0	0	0	4	0	0	0	0	2	0	0	0	0	0	2
ENSCHAG00000012426	ENSCHAG00000012426	ENSCHAT00000027996	protein_coding	0	0	0	25	3	0	0	4	15	0	0	0	0	0	3
ENSCHAG00000012426	ENSCHAG00000012426	ENSCHAT00000028011	protein_coding	0	0	0	25	3	0	0	4	15	0	0	0	0	0	3
ENSCHAG00000012426	ENSCHAG00000012426	ENSCHAT00000028056	protein_coding	0	0	0	25	3	0	0	4	15	0	0	0	0	0	3
ENSCHAG00000012508	ENSCHAG00000012508	ENSCHAT00000028531	protein_coding	0	1	0	11	1	0	0	1	4	0	0	0	0	1	5
ENSCHAG00000012508	ENSCHAG00000012508	ENSCHAT00000028555	protein_coding	0	1	0	11	1	0	0	1	4	0	0	0	0	1	5
ENSCHAG00000012508	ENSCHAG00000012508	ENSCHAT00000028630	protein_coding	0	1	0	6	0	0	0	3	2	0	0	0	0	1	1
ENSCHAG00000012826	ENSCHAG00000012826	ENSCHAT00000028660	protein_coding	0	0	0	8	0	0	0	2	0	0	0	0	0	0	6
ENSCHAG00000013043	ENSCHAG00000013043	ENSCHAT00000029153	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
ENSCHAG00000013135	ENSCHAG00000013135	ENSCHAT00000029841	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0
ENSCHAG00000013135	ENSCHAG00000013135	ENSCHAT00000029887	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0
ENSCHAG00000013135	ENSCHAG00000013135	ENSCHAT00000029931	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0
ENSCHAG00000013273	ENSCHAG00000013273	ENSCHAT00000029776	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
ENSCHAG00000013302	ENSCHAG00000013302	ENSCHAT00000029806	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
ENSCHAG00000013321	ENSCHAG00000013321	ENSCHAT00000030031	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0
ENSCHAG00000013321	ENSCHAG00000013321	ENSCHAT00000030164	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0
ENSCHAG00000013321	ENSCHAG00000013321	ENSCHAT00000030213	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0
ENSCHAG00000013321	ENSCHAG00000013321	ENSCHAT00000030245	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0
ENSCHAG00000013321	ENSCHAG00000013321	ENSCHAT00000030264	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0
ENSCHAG00000013487	ENSCHAG00000013487	ENSCHAT00000030327	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
ENSCHAG00000013509	ENSCHAG00000013509	ENSCHAT00000030370	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
ENSCHAG00000013526	ENSCHAG00000013526	ENSCHAT00000030430	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	1
ENSCHAG00000013557	ENSCHAG00000013557	ENSCHAT00000030455	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
ENSCHAG00000013569	ENSCHAG00000013569	ENSCHAT00000030549	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	1
ENSCHAG00000013660	ENSCHAG00000013660	ENSCHAT00000030745	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
ENSCHAG00000013709	ENSCHAG00000013709	ENSCHAT00000030894	protein_coding	0	0	0	4	0	0	0	4	0	0	0	0	0	0	0
ENSCHAG00000013739	ENSCHAG00000013739	ENSCHAT00000030911	protein_coding	0	0	0	4	0	0	0	4	0	0	0	0	0	0	0
ENSCHAG00000013739	ENSCHAG00000013739	ENSCHAT00000030932	protein_coding	0	0	0	4	0	0	0	4	0	0	0	0	0	0	0
ENSCHAG00000013755	ENSCHAG00000013755	ENSCHAT00000030956	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0
ENSCHAG00000013765	ENSCHAG00000013765	ENSCHAT00000031091	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0
ENSCHAG00000013765	ENSCHAG00000013765	ENSCHAT00000031145	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0
ENSCHAG00000013765	ENSCHAG00000013765	ENSCHAT00000031218	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0
ENSCHAG00000014500	ENSCHAG00000014500	ENSCHAT00000032804	protein_coding	0	0	0	5	0	0	0	0	2	0	0	0	0	0	3
ENSCHAG00000014748	ENSCHAG00000014748	ENSCHAT00000033347	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0
ENSCHAG00000014758	ENSCHAG00000014758	ENSCHAT00000033366	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
ENSCHAG00000014766	ENSCHAG00000014766	ENSCHAT00000033423	protein_coding	0	0	1	4	0	0	0	4	0	1	0	0	0	0	0
ENSCHAG00000014788	ENSCHAG00000014788	ENSCHAT00000033486	protein_coding	0	0	0	18	0	0	0	6	3	0	0	0	0	0	9
ENSCHAG00000014801	ENSCHAG00000014801	ENSCHAT00000033518	protein_coding	0	0	0	12	0	0	0	6	0	0	0	0	0	0	6
ENSCHAG00000014813	ENSCHAG00000014813	ENSCHAT00000033530	protein_coding	0	1	0	11	2	0	0	6	0	0	0	1	0	0	3
ENSCHAG00000015063	ENSCHAG00000015063	ENSCHAT00000034213		0	0	0	4	0	0	0	1	1	0	0	0	0	0	2
ENSCHAG00000015063	ENSCHAG00000015063	ENSCHAT00000034214		0	0	0	4	0	0	0	1	1	0	0	0	0	0	2
ENSCHAG00000015063	ENSCHAG00000015063	ENSCHAT00000034215		0	0	0	4	0	0	0	1	1	0	0	0	0	0	2
ENSCHAG00000015063	ENSCHAG00000015063	ENSCHAT00000034217		0	0	0	4	0	0	0	1	1	0	0	0	0	0	2
ENSCHAG00000015328	ENSCHAG00000015328	ENSCHAT00000034989	pseudogene	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0
ENSCHAG00000015446	ENSCHAG00000015446	ENSCHAT00000035000		0	0	0	9	0	0	0	2	4	0	0	0	0	0	3
ENSCHAG00000015974	ENSCHAG00000015974	ENSCHAT00000036358	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
ENSCHAG00000015989	ENSCHAG00000015989	ENSCHAT00000036368	protein_coding	0	0	0	6	0	0	0	6	0	0	0	0	0	0	0
ENSCHAG00000017357	ENSCHAG00000017357	ENSCHAT00000039781		0	1	0	8	0	0	0	5	3	0	1	1	0	0	0
ENSCHAG00000017357	ENSCHAG00000017357	ENSCHAT00000039784		0	0	0	7	0	0	0	4	2	0	0	0	0	0	1
ENSCHAG00000017399	ENSCHAG00000017399	ENSCHAT00000039899	protein_coding	0	0	0	6	0	0	0	2	0	0	0	0	0	0	4
ENSCHAG00000017402	ENSCHAG00000017402	ENSCHAT00000039916	protein_coding	0	0	0	12	0	0	0	4	7	0	0	0	0	0	1
ENSCHAG00000017414	ENSCHAG00000017414	ENSCHAT00000039947		0	0	0	4	0	0	0	3	0	0	0	0	0	0	1
ENSCHAG00000017513	ENSCHAG00000017513	ENSCHAT00000040210	protein_coding	0	0	0	4	0	0	0	0	3	0	0	0	0	0	1
ENSCHAG00000017906	ENSCHAG00000017906	ENSCHAT00000049213	protein_coding	0	0	0	33	0	0	0	8	23	0	0	0	0	0	2
ENSCHAG00000017906	ENSCHAG00000017906	ENSCHAT00000049840	protein_coding	0	0	0	33	0	0	0	8	23	0	0	0	0	0	2
ENSCHAG00000017906	ENSCHAG00000017906	ENSCHAT00000050081	protein_coding	0	0	0	33	0	0	0	8	23	0	0	0	0	0	2
ENSCHAG00000017906	ENSCHAG00000017906	ENSCHAT00000050234	protein_coding	0	0	0	33	0	0	0	8	23	0	0	0	0	0	2
ENSCHAG00000017906	ENSCHAG00000017906	ENSCHAT00000050857	protein_coding	0	0	0	33	0	0	0	8	23	0	0	0	0	0	2
ENSCHAG00000017906	ENSCHAG00000017906	ENSCHAT00000051527	protein_coding	0	0	0	33	0	0	0	8	23	0	0	0	0	0	2
ENSCHAG00000017906	ENSCHAG00000017906	ENSCHAT00000051607	protein_coding	0	0	0	33	0	0	0	8	23	0	0	0	0	0	2
ENSCHAG00000017906	ENSCHAG00000017906	ENSCHAT00000051810	protein_coding	0	0	0	33	0	0	0	8	23	0	0	0	0	0	2
ENSCHAG00000017906	ENSCHAG00000017906	ENSCHAT00000051860	protein_coding	0	0	0	33	0	0	0	8	23	0	0	0	0	0	2
ENSCHAG00000017906	ENSCHAG00000017906	ENSCHAT00000051942	protein_coding	0	0	0	33	0	0	0	8	23	0	0	0	0	0	2
ENSCHAG00000018775	ENSCHAG00000018775	ENSCHAT00000043360		0	0	0	10	0	0	0	1	5	0	1	0	0	0	3
ENSCHAG00000018775	ENSCHAG00000018775	ENSCHAT00000043362		0	0	0	5	0	0	0	1	0	0	1	0	0	0	3
ENSCHAG00000018775	ENSCHAG00000018775	ENSCHAT00000043364		0	0	0	9	0	0	0	1	5	0	1	0	0	0	2
ENSCHAG00000018777	ENSCHAG00000018777	ENSCHAT00000043386	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
ENSCHAG00000018821	ENSCHAG00000018821	ENSCHAT00000043501	protein_coding	0	0	0	20	2	0	0	4	9	0	0	0	0	0	5
ENSCHAG00000018996	ENSCHAG00000018996	ENSCHAT00000043901		0	1	0	8	0	0	0	3	2	0	1	1	0	0	3
ENSCHAG00000018998	ENSCHAG00000018998	ENSCHAT00000043933	protein_coding	0	0	0	6	3	0	0	0	1	0	0	0	0	0	2
ENSCHAG00000019076	ENSCHAG00000019076	ENSCHAT00000044119		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
ENSCHAG00000019092	ENSCHAG00000019092	ENSCHAT00000044193	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	2
ENSCHAG00000019092	ENSCHAG00000019092	ENSCHAT00000044224	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	2
ENSCHAG00000019328	ENSCHAG00000019328	ENSCHAT00000044739		0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
ENSCHAG00000019366	ENSCHAG00000019366	ENSCHAT00000048248	protein_coding	0	0	0	4	0	0	0	2	2	0	0	0	0	0	0
ENSCHAG00000019366	ENSCHAG00000019366	ENSCHAT00000048294	protein_coding	0	0	0	4	0	0	0	2	2	0	0	0	0	0	0
ENSCHAG00000019366	ENSCHAG00000019366	ENSCHAT00000048302	protein_coding	0	0	0	4	0	0	0	2	2	0	0	0	0	0	0
ENSCHAG00000019366	ENSCHAG00000019366	ENSCHAT00000048333	protein_coding	0	0	0	4	0	0	0	2	2	0	0	0	0	0	0
ENSCHAG00000019366	ENSCHAG00000019366	ENSCHAT00000048369	protein_coding	0	0	0	4	0	0	0	2	2	0	0	0	0	0	0
ENSCHAG00000019366	ENSCHAG00000019366	ENSCHAT00000048429	protein_coding	0	0	0	3	0	0	0	2	0	0	0	0	0	0	1
ENSCHAG00000019366	ENSCHAG00000019366	ENSCHAT00000048463	protein_coding	0	0	0	3	0	0	0	2	0	0	0	0	0	0	1
ENSCHAG00000019366	ENSCHAG00000019366	ENSCHAT00000048511	protein_coding	0	0	0	3	0	0	0	2	0	0	0	0	0	0	1
ENSCHAG00000019366	ENSCHAG00000019366	ENSCHAT00000048551	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
ENSCHAG00000019366	ENSCHAG00000019366	ENSCHAT00000048601	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
ENSCHAG00000019533	ENSCHAG00000019533	ENSCHAT00000045254		0	0	0	6	0	0	0	2	0	0	1	0	0	0	3
ENSCHAG00000019534	ENSCHAG00000019534	ENSCHAT00000045273	protein_coding	0	0	0	4	0	0	0	3	0	0	0	0	0	0	1
ENSCHAG00000019553	ENSCHAG00000019553	ENSCHAT00000045294	protein_coding	0	1	0	41	1	0	0	1	38	0	0	0	0	1	1
ENSCHAG00000019914	ENSCHAG00000019914	ENSCHAT00000046275	protein_coding	0	0	0	6	0	0	0	2	0	0	0	0	0	0	4
ENSCHAG00000020028	ENSCHAG00000020028	ENSCHAT00000046547	protein_coding	0	0	0	3	0	0	0	2	0	0	0	0	0	0	1
ENSCHAG00000020667	ENSCHAG00000020667	ENSCHAT00000048082	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	3
ENSCHAG00000020681	ENSCHAG00000020681	ENSCHAT00000048090		0	0	0	5	0	0	0	0	0	0	3	0	0	0	2
ENSCHAG00000020837	ENSCHAG00000020837	ENSCHAT00000048482	protein_coding	0	0	3	3	0	0	0	2	0	3	0	0	0	0	1
ENSCHAG00000020897	ENSCHAG00000020897	ENSCHAT00000052724	protein_coding	0	0	0	8	0	0	0	2	6	0	0	0	0	0	0
ENSCHAG00000020897	ENSCHAG00000020897	ENSCHAT00000052786	protein_coding	0	0	0	8	0	0	0	2	6	0	0	0	0	0	0
ENSCHAG00000020897	ENSCHAG00000020897	ENSCHAT00000053148	protein_coding	0	0	0	4	0	0	0	1	3	0	0	0	0	0	0
ENSCHAG00000020897	ENSCHAG00000020897	ENSCHAT00000053252	protein_coding	0	0	0	6	0	0	0	2	4	0	0	0	0	0	0
ENSCHAG00000020897	ENSCHAG00000020897	ENSCHAT00000053304	protein_coding	0	0	0	6	0	0	0	2	4	0	0	0	0	0	0
ENSCHAG00000020897	ENSCHAG00000020897	ENSCHAT00000053349	protein_coding	0	0	0	6	0	0	0	2	4	0	0	0	0	0	0
ENSCHAG00000021164	ENSCHAG00000021164	ENSCHAT00000049313	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	0	0	4
ENSCHAG00000021165	ENSCHAG00000021165	ENSCHAT00000049298	protein_coding	0	0	0	2	0	0	0	1	0	0	0	0	0	0	1
ENSCHAG00000021375	ENSCHAG00000021375	ENSCHAT00000049804		0	0	0	7	0	0	0	1	0	0	0	0	0	0	6
ENSCHAG00000021687	ENSCHAG00000021687	ENSCHAT00000050712		0	0	0	3	0	0	0	2	0	0	0	0	0	0	1
ENSCHAG00000022388	ENSCHAG00000022388	ENSCHAT00000056498	protein_coding	0	0	0	3	0	0	0	1	0	0	0	0	0	0	2
ENSCHAG00000022388	ENSCHAG00000022388	ENSCHAT00000056513	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
ENSCHAG00000022388	ENSCHAG00000022388	ENSCHAT00000056524	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
ENSCHAG00000022388	ENSCHAG00000022388	ENSCHAT00000056530	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
ENSCHAG00000022388	ENSCHAG00000022388	ENSCHAT00000056532	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
ENSCHAG00000022388	ENSCHAG00000022388	ENSCHAT00000056614	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
ENSCHAG00000022388	ENSCHAG00000022388	ENSCHAT00000056639	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
ENSCHAG00000022388	ENSCHAG00000022388	ENSCHAT00000056644	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
ENSCHAG00000022388	ENSCHAG00000022388	ENSCHAT00000056652	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
ENSCHAG00000022388	ENSCHAG00000022388	ENSCHAT00000056663	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
ENSCHAG00000022705	ENSCHAG00000022705	ENSCHAT00000053380		0	0	0	8	0	0	0	3	4	0	1	0	0	0	0
ENSCHAG00000022705	ENSCHAG00000022705	ENSCHAT00000053381		0	0	0	8	0	0	0	3	4	0	1	0	0	0	0
ENSCHAG00000022705	ENSCHAG00000022705	ENSCHAT00000053382		0	0	0	8	0	0	0	0	4	0	0	0	0	0	4
ENSCHAG00000022705	ENSCHAG00000022705	ENSCHAT00000053383		0	0	0	8	0	0	0	3	4	0	1	0	0	0	0
ENSCHAG00000022705	ENSCHAG00000022705	ENSCHAT00000053384		0	0	0	7	0	0	0	3	3	0	1	0	0	0	0
ENSCHAG00000022897	ENSCHAG00000022897	ENSCHAT00000053867	snoRNA	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
ENSCHAG00000022898	ENSCHAG00000022898	ENSCHAT00000053872	snoRNA	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
ENSCHAG00000022901	ENSCHAG00000022901	ENSCHAT00000053882	protein_coding	0	1	0	10	0	0	0	7	1	0	0	0	0	1	2
ENSCHAG00000022904	ENSCHAG00000022904	ENSCHAT00000053892	protein_coding	0	1	1	75	0	0	0	67	5	1	0	1	0	0	4
ENSCHAG00000022952	ENSCHAG00000022952	ENSCHAT00000053979		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
ENSCHAG00000023000	ENSCHAG00000023000	ENSCHAT00000054056		0	0	0	8	0	0	0	4	3	0	0	0	0	0	1
ENSCHAG00000023000	ENSCHAG00000023000	ENSCHAT00000054062		0	0	0	4	0	0	0	1	2	0	0	0	0	0	1
ENSCHAG00000023198	ENSCHAG00000023198	ENSCHAT00000054607	protein_coding	0	0	2	12	1	0	0	0	6	2	0	0	0	0	5
ENSCHAG00000023218	ENSCHAG00000023218	ENSCHAT00000055432	protein_coding	0	1	0	14	0	1	2	2	7	0	0	0	0	0	3
ENSCHAG00000023218	ENSCHAG00000023218	ENSCHAT00000055474	protein_coding	0	1	0	14	0	1	2	2	7	0	0	0	0	0	3
ENSCHAG00000023218	ENSCHAG00000023218	ENSCHAT00000055496	protein_coding	0	0	0	12	0	0	0	2	4	0	0	0	0	0	6
ENSCHAG00000023218	ENSCHAG00000023218	ENSCHAT00000055510	protein_coding	0	0	0	12	0	0	0	2	4	0	0	0	0	0	6
ENSCHAG00000023218	ENSCHAG00000023218	ENSCHAT00000055530	protein_coding	0	0	0	12	0	0	0	2	4	0	0	0	0	0	6
ENSCHAG00000023218	ENSCHAG00000023218	ENSCHAT00000055550	protein_coding	0	0	0	12	0	0	0	2	3	0	0	0	0	0	7
ENSCHAG00000023218	ENSCHAG00000023218	ENSCHAT00000055605	protein_coding	0	0	0	12	0	0	0	2	3	0	0	0	0	0	7
ENSCHAG00000023224	ENSCHAG00000023224	ENSCHAT00000054747		0	0	0	3	0	0	0	0	3	0	0	0	0	0	0
ENSCHAG00000023249	ENSCHAG00000023249	ENSCHAT00000054730		0	0	0	18	0	0	0	5	5	0	6	0	0	0	2
ENSCHAG00000023249	ENSCHAG00000023249	ENSCHAT00000054731		0	0	0	14	0	0	0	4	2	0	6	0	0	0	2
ENSCHAG00000023249	ENSCHAG00000023249	ENSCHAT00000054732		0	0	0	14	0	0	0	4	2	0	6	0	0	0	2
ENSCHAG00000023249	ENSCHAG00000023249	ENSCHAT00000054734		0	0	0	10	0	0	0	0	2	0	6	0	0	0	2
ENSCHAG00000023253	ENSCHAG00000023253	ENSCHAT00000054737		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
ENSCHAG00000023263	ENSCHAG00000023263	ENSCHAT00000054786	pseudogene	0	0	0	5	0	0	0	2	2	0	0	0	0	0	1
ENSCHAG00000023281	ENSCHAG00000023281	ENSCHAT00000054795		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
ENSCHAG00000023616	ENSCHAG00000023616	ENSCHAT00000056370	protein_coding	0	0	0	10	2	0	0	5	3	0	0	0	0	0	0
ENSCHAG00000023616	ENSCHAG00000023616	ENSCHAT00000056461	protein_coding	0	0	0	10	2	0	0	5	3	0	0	0	0	0	0
ENSCHAG00000023616	ENSCHAG00000023616	ENSCHAT00000056483	protein_coding	0	1	0	9	2	0	0	5	2	0	0	0	0	1	0
ENSCHAG00000023616	ENSCHAG00000023616	ENSCHAT00000056528	protein_coding	0	0	0	10	2	0	0	5	3	0	0	0	0	0	0
ENSCHAG00000023616	ENSCHAG00000023616	ENSCHAT00000056573	protein_coding	0	0	0	10	2	0	0	5	3	0	0	0	0	0	0
ENSCHAG00000023624	ENSCHAG00000023624	ENSCHAT00000055712	protein_coding	0	3	0	24	5	0	0	0	13	0	0	1	0	2	7
ENSCHAG00000023641	ENSCHAG00000023641	ENSCHAT00000055785	protein_coding	0	1	1	39	0	0	0	10	21	1	0	0	0	1	8
ENSCHAG00000023641	ENSCHAG00000023641	ENSCHAT00000055795	protein_coding	0	1	0	24	0	0	0	12	1	0	0	0	0	1	11
ENSCHAG00000023647	ENSCHAG00000023647	ENSCHAT00000055799	protein_coding	0	0	0	50	0	0	0	11	31	0	0	0	0	0	8
ENSCHAG00000023651	ENSCHAG00000023651	ENSCHAT00000055823	protein_coding	0	0	0	6	0	0	0	0	0	0	0	0	0	0	6
ENSCHAG00000023661	ENSCHAG00000023661	ENSCHAT00000055829	protein_coding	0	0	0	11	0	0	0	11	0	0	0	0	0	0	0
ENSCHAG00000023661	ENSCHAG00000023661	ENSCHAT00000055836	protein_coding	0	0	0	11	0	0	0	11	0	0	0	0	0	0	0
ENSCHAG00000023925	ENSCHAG00000023925	ENSCHAT00000056540	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
ENSCHAG00000024189	ENSCHAG00000024189	ENSCHAT00000057309	protein_coding	0	0	0	8	0	0	0	1	1	0	0	0	0	0	6
ENSCHAG00000024191	ENSCHAG00000024191	ENSCHAT00000057306	pseudogene	0	0	0	7	0	0	0	4	0	0	1	0	0	0	2
ENSCHAG00000024232	ENSCHAG00000024232	ENSCHAT00000057419	protein_coding	0	0	0	33	0	0	0	7	23	0	0	0	0	0	3
ENSCHAG00000024232	ENSCHAG00000024232	ENSCHAT00000057449	protein_coding	0	0	0	26	0	0	0	15	8	0	0	0	0	0	3
ENSCHAG00000024263	ENSCHAG00000024263	ENSCHAT00000057523		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
ENSCHAG00000024282	ENSCHAG00000024282	ENSCHAT00000057574	protein_coding	0	0	0	6	0	0	0	0	5	0	0	0	0	0	1
ENSCHAG00000024287	ENSCHAG00000024287	ENSCHAT00000057590	protein_coding	0	0	0	5	0	0	0	4	0	0	0	0	0	0	1
ENSCHAG00000024292	ENSCHAG00000024292	ENSCHAT00000057597		0	0	0	4	0	0	0	1	2	0	0	0	0	0	1
ENSCHAG00000024294	ENSCHAG00000024294	ENSCHAT00000057603	protein_coding	0	0	0	6	0	0	0	3	2	0	0	0	0	0	1
ENSCHAG00000024298	ENSCHAG00000024298	ENSCHAT00000057633	protein_coding	0	0	0	10	0	0	0	2	5	0	0	0	0	0	3
ENSCHAG00000024298	ENSCHAG00000024298	ENSCHAT00000057673	protein_coding	0	0	0	10	0	0	0	2	5	0	0	0	0	0	3
ENSCHAG00000024298	ENSCHAG00000024298	ENSCHAT00000057716	protein_coding	0	0	0	10	0	0	0	2	5	0	0	0	0	0	3
ENSCHAG00000024298	ENSCHAG00000024298	ENSCHAT00000057736	protein_coding	0	0	0	10	0	0	0	2	5	0	0	0	0	0	3
ENSCHAG00000024339	ENSCHAG00000024339	ENSCHAT00000057766	protein_coding	0	1	0	22	0	0	0	8	4	0	0	1	0	0	11
ENSCHAG00000024399	ENSCHAG00000024399	ENSCHAT00000057901	protein_coding	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0
ENSCHAG00000024417	ENSCHAG00000024417	ENSCHAT00000057999	protein_coding	0	0	0	15	0	0	0	10	2	0	0	0	0	0	3
ENSCHAG00000024417	ENSCHAG00000024417	ENSCHAT00000058037	protein_coding	0	0	0	15	0	0	0	10	2	0	0	0	0	0	3
ENSCHAG00000024449	ENSCHAG00000024449	ENSCHAT00000058086	protein_coding	0	1	0	20	0	0	0	9	7	0	0	0	0	1	4
